TimeStamp,Date,CountyName,Province,PopulationCensus16,ConfirmedCovidCases,NewCases,3DayAvg,7DayAvg
1584748800000,21/03/2020,Carlow,Leinster,56932,3,3,1,0
1584748800000,21/03/2020,Cavan,Ulster,76176,3,3,1,0
1584748800000,21/03/2020,Clare,Munster,118817,9,9,3,1
1584748800000,21/03/2020,Cork,Munster,542868,104,104,35,15
1584748800000,21/03/2020,Donegal,Ulster,159192,8,8,3,1
1584748800000,21/03/2020,Dublin,Leinster,1347359,471,471,157,67
1584748800000,21/03/2020,Galway,Connacht,258058,33,33,11,5
1584748800000,21/03/2020,Kerry,Munster,147707,12,12,4,2
1584748800000,21/03/2020,Kildare,Leinster,222504,23,23,8,3
1584748800000,21/03/2020,Kilkenny,Leinster,99232,15,15,5,2
1584748800000,21/03/2020,Laois,Leinster,84697,6,6,2,1
1584748800000,21/03/2020,Leitrim,Connacht,32044,3,3,1,0
1584748800000,21/03/2020,Limerick,Munster,194899,18,18,6,3
1584748800000,21/03/2020,Longford,Leinster,40873,3,3,1,0
1584748800000,21/03/2020,Louth,Leinster,128884,13,13,4,2
1584748800000,21/03/2020,Mayo,Connacht,130507,6,6,2,1
1584748800000,21/03/2020,Meath,Leinster,195044,13,13,4,2
1584748800000,21/03/2020,Monaghan,Ulster,61386,3,3,1,0
1584748800000,21/03/2020,Offaly,Leinster,77961,10,10,3,1
1584748800000,21/03/2020,Roscommon,Connacht,64544,3,3,1,0
1584748800000,21/03/2020,Sligo,Connacht,65535,8,8,3,1
1584748800000,21/03/2020,Tipperary,Munster,159553,20,20,7,3
1584748800000,21/03/2020,Waterford,Munster,116176,9,9,3,1
1584748800000,21/03/2020,Westmeath,Leinster,88770,20,20,7,3
1584748800000,21/03/2020,Wexford,Leinster,149722,3,3,1,0
1584748800000,21/03/2020,Wicklow,Leinster,142425,22,22,7,3
1584835200000,22/03/2020,Carlow,Leinster,56932,3,0,1,0
1584835200000,22/03/2020,Cavan,Ulster,76176,5,2,2,1
1584835200000,22/03/2020,Clare,Munster,118817,11,2,4,2
1584835200000,22/03/2020,Cork,Munster,542868,123,19,41,18
